Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,637,1806,882,543,361,803,725,940,430,389
00:30,450,1162,736,391,347,373,453,348,358,227
01:00,381,1283,599,395,313,281,424,510,249,344
01:30,334,1165,469,280,248,230,295,491,158,180
02:00,321,1038,413,290,340,215,286,712,176,519
02:30,206,861,341,192,444,169,210,463,164,372
03:00,189,817,234,176,282,229,252,573,145,348
03:30,159,682,243,152,244,153,158,375,243,195
04:00,234,645,199,202,295,158,169,565,278,355
04:30,110,592,223,152,206,134,111,435,305,216
05:00,160,512,302,229,644,194,182,2610,263,515
05:30,115,339,170,152,305,237,206,470,156,252
06:00,141,286,218,232,574,471,374,342,229,611
06:30,175,228,203,194,489,246,149,311,189,295
07:00,334,194,263,393,951,263,313,337,356,1059
07:30,196,145,267,273,576,233,180,226,381,592
08:00,402,200,523,661,1276,415,266,640,524,2248
08:30,233,183,264,299,660,356,235,431,520,608
09:00,259,189,809,779,1524,548,373,878,792,2122
09:30,239,184,412,520,716,589,423,220,488,859
10:00,377,297,624,884,2150,816,657,733,1382,2506
10:30,354,242,491,611,1107,461,593,215,872,934
11:00,289,596,567,1186,2906,945,1005,553,1221,3166
11:30,285,304,557,776,1035,687,567,274,898,867
12:00,753,580,1044,1308,1813,1289,1259,619,1335,2073
12:30,249,381,534,1079,956,719,731,384,1054,1089
13:00,213,647,563,1228,1408,1160,694,1059,1128,1236
13:30,164,467,591,1035,746,750,537,515,931,887
14:00,253,982,784,1522,1903,1654,996,1811,1117,1732
14:30,259,607,664,1097,1018,880,660,409,961,780
15:00,294,901,886,1396,1372,1901,966,2222,949,1025
15:30,239,701,634,1078,938,977,870,771,849,659
16:00,404,1078,1225,1655,1512,2219,1462,2034,1198,1585
16:30,339,831,810,1155,853,1192,924,661,902,626
17:00,782,1048,1509,1488,1431,1801,2890,3440,1374,1274
17:30,495,869,1042,1253,820,1223,1831,725,988,634
18:00,1334,1583,2025,1603,749,2783,4549,1771,1634,836
18:30,623,978,1147,1215,623,1430,2002,729,1238,585
19:00,1555,1380,1668,1531,617,1937,1897,1149,1390,652
19:30,609,1073,1137,1194,602,1161,1291,929,1322,670
20:00,1293,1509,1534,1550,927,1603,1447,1018,1514,690
20:30,490,1258,1124,1368,683,1011,1153,770,1322,560
21:00,858,1581,1384,1399,680,1213,1089,1009,922,569
21:30,478,1285,991,1279,510,879,1236,514,1021,382
22:00,711,2178,1100,1266,575,1212,1122,1008,1265,347
22:30,525,1496,796,1059,676,951,888,615,959,324
23:00,548,1988,666,1094,957,873,914,683,720,1653
23:30,442,1388,700,637,519,816,710,419,482,302
