Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,513,1404,681,385,269,643,515,688,239,311
00:20,240,834,449,247,184,282,364,379,242,142
00:40,326,702,487,266,245,214,258,224,232,152
01:00,260,946,435,295,251,193,308,350,160,292
01:20,238,769,323,198,144,167,218,230,109,125
01:40,201,722,299,175,169,149,185,343,113,112
02:00,253,719,290,211,263,140,197,500,118,470
02:20,140,605,251,97,188,134,160,328,103,98
02:40,129,565,199,154,330,91,99,398,130,299
03:00,114,563,152,125,205,182,195,402,85,315
03:20,127,476,176,98,131,100,123,236,147,92
03:40,97,423,133,114,184,95,104,292,142,144
04:00,184,441,139,145,227,120,120,445,221,332
04:20,79,440,127,105,143,87,70,208,190,131
04:40,71,325,145,97,117,97,97,340,177,104
05:00,126,375,264,171,569,152,130,2505,191,499
05:20,71,261,109,96,174,133,121,313,116,107
05:40,80,179,94,108,227,149,127,233,109,169
06:00,102,206,173,187,480,416,331,298,159,564
06:20,104,158,154,110,279,152,96,134,130,141
06:40,136,151,107,139,326,142,89,196,144,206
07:00,249,141,208,323,806,214,266,297,266,944
07:20,150,109,160,171,373,123,97,181,194,391
07:40,117,85,176,184,350,175,120,87,296,315
08:00,311,113,454,575,1125,335,242,620,406,2133
08:20,194,154,164,173,363,216,138,94,272,341
08:40,132,107,153,252,448,238,140,356,397,434
09:00,196,137,647,621,1338,429,309,831,626,1893
09:20,130,118,323,331,442,320,190,87,323,507
09:40,181,122,273,322,463,411,323,181,307,584
10:00,301,231,512,736,1910,665,538,691,1205,2290
10:20,200,165,300,380,711,284,333,116,468,551
10:40,224,162,315,414,672,333,420,145,628,673
11:00,217,520,426,965,2598,790,839,510,949,2885
11:20,168,190,355,502,782,409,349,183,568,499
11:40,195,180,372,521,605,411,377,132,619,652
12:00,665,492,849,1023,1529,1141,1044,576,1060,1801
12:20,173,234,366,724,650,442,491,168,653,691
12:40,152,265,363,652,557,443,459,244,639,610
13:00,158,507,410,942,1159,974,530,1008,891,983
13:20,95,296,372,660,503,472,327,357,583,638
13:40,133,331,381,670,503,497,379,227,624,493
14:00,168,825,580,1217,1636,1325,813,1724,836,1563
14:20,167,408,459,679,605,625,426,177,599,482
14:40,182,345,415,753,726,582,417,340,638,452
15:00,213,713,699,1066,1053,1509,754,2033,651,805
15:20,157,473,389,697,666,814,525,434,558,551
15:40,165,463,429,725,522,546,584,497,625,340
16:00,317,838,973,1268,1242,1983,1194,1832,902,1270
16:20,210,510,575,799,611,733,592,477,534,562
16:40,221,564,521,733,549,715,621,517,616,362
17:00,690,787,1210,1132,1142,1520,2551,3197,1144,1067
17:20,254,597,720,762,552,716,1022,595,537,415
17:40,353,556,619,847,498,799,1228,349,724,428
18:00,1179,1257,1707,1217,542,2438,4027,1456,1323,620
18:20,380,640,726,819,486,887,1315,487,739,429
18:40,378,683,756,792,333,927,1198,541,842,377
19:00,1404,1061,1290,1147,457,1598,1467,914,983,485
19:20,415,709,809,826,393,727,884,630,817,423
19:40,383,688,742,787,388,758,788,515,914,395
20:00,1114,1153,1127,1139,724,1264,1096,804,1113,492
20:20,368,808,778,833,461,734,794,562,803,473
20:40,295,814,721,888,416,594,677,387,859,309
21:00,702,1234,1073,1010,509,950,784,677,608,401
21:20,335,802,650,841,329,580,796,527,646,293
21:40,294,866,625,849,371,619,833,373,716,243
22:00,557,1690,846,887,395,849,756,822,969,234
22:20,354,1046,500,714,415,752,613,407,471,177
22:40,326,961,554,695,415,470,564,383,797,256
23:00,385,1492,466,844,813,661,659,505,485,1516
23:20,310,1009,378,411,346,581,506,236,299,211
23:40,282,824,464,410,294,424,422,385,373,205
