Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,262,491,314,116,85,326,155,360,43,120
00:02,35,120,38,28,27,40,39,107,35,35
00:04,20,99,59,32,28,21,38,53,17,15
00:06,30,133,22,35,20,43,40,27,15,34
00:08,20,114,36,27,14,37,45,24,9,3
00:10,30,104,29,34,9,34,38,72,29,19
00:12,24,83,50,31,18,34,34,19,23,17
00:14,25,88,64,26,13,29,46,45,26,10
00:16,25,74,47,24,12,30,41,20,28,11
00:18,16,85,34,19,26,21,31,11,15,23
00:20,20,101,29,16,22,25,38,76,30,6
00:22,15,57,34,23,19,24,32,66,25,9
00:24,21,70,26,22,19,34,36,18,10,14
00:26,19,78,39,33,22,16,29,15,32,18
00:28,23,74,40,24,19,32,30,23,12,14
00:30,104,151,198,38,40,55,38,20,111,15
00:32,30,62,45,35,27,21,31,70,7,21
00:34,20,75,49,29,21,15,23,2,8,26
00:36,31,66,33,33,10,16,19,0,16,13
00:38,26,87,41,22,31,11,23,1,20,6
00:40,36,59,31,33,28,31,32,0,17,8
00:42,34,63,44,16,17,18,23,26,17,3
00:44,30,60,46,24,34,24,27,0,10,40
00:46,30,65,27,19,24,14,32,38,26,3
00:48,17,64,35,23,10,11,25,41,14,18
00:50,17,59,38,16,14,25,19,68,18,8
00:52,26,72,45,12,25,16,25,0,15,10
00:54,17,62,57,14,10,17,29,34,9,14
00:56,17,65,30,24,10,24,45,2,8,7
00:58,26,60,37,16,14,14,32,38,22,0
01:00,67,303,102,75,115,48,71,150,40,198
01:02,16,85,18,36,21,19,24,23,10,12
01:04,28,67,43,29,15,17,15,4,23,5
01:06,20,88,18,40,19,11,23,61,12,15
01:08,28,82,42,33,11,15,23,15,12,21
01:10,19,60,28,26,13,14,23,0,8,9
01:12,29,70,55,19,6,16,19,24,13,7
01:14,24,81,24,13,6,20,19,12,19,17
01:16,28,74,31,20,18,23,29,55,8,26
01:18,27,82,32,19,22,18,24,1,7,7
01:20,23,76,38,25,12,19,36,7,9,5
01:22,20,50,35,20,8,18,23,22,5,0
01:24,25,64,21,15,10,8,11,2,22,15
01:26,19,69,30,15,27,16,16,38,6,18
01:28,17,81,34,16,15,16,17,14,10,15
01:30,26,199,24,36,39,13,21,77,37,46
01:32,17,66,38,14,8,12,22,19,4,7
01:34,18,57,47,13,16,12,18,19,2,0
01:36,25,70,34,13,20,27,14,29,9,8
01:38,24,89,21,21,20,13,21,66,6,5
01:40,30,69,27,17,13,12,10,46,5,7
01:42,22,51,26,15,6,10,13,29,17,6
01:44,13,68,31,21,14,13,20,67,11,15
01:46,19,61,27,14,27,18,25,16,13,6
01:48,11,61,22,23,13,20,27,7,12,27
01:50,19,50,23,15,15,9,14,23,1,6
01:52,19,56,29,17,9,19,11,38,7,13
01:54,28,42,31,11,5,18,20,36,4,15
01:56,37,35,26,3,22,16,13,32,13,16
01:58,13,62,21,15,10,12,11,0,6,0
02:00,61,156,80,115,142,27,61,283,22,348
02:02,25,70,21,10,20,11,19,34,16,48
02:04,18,90,25,11,15,5,9,21,12,5
