Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,299,610,362,145,103,364,192,447,73,167
00:04,43,222,91,55,54,53,78,73,45,35
00:08,58,237,58,74,28,77,76,56,26,44
00:12,45,175,103,59,35,68,77,120,57,34
00:16,46,157,94,41,26,53,89,31,46,17
00:20,41,175,61,43,44,50,61,127,40,28
00:24,34,141,66,52,46,52,68,44,44,36
00:28,74,186,125,52,33,59,69,57,55,27
00:32,103,167,204,76,67,70,55,71,99,43
00:36,61,148,71,56,46,23,45,2,27,29
00:40,56,134,77,51,49,42,56,22,32,11
00:44,73,126,75,39,51,46,51,42,36,41
00:48,33,127,60,44,32,33,51,87,38,28
00:52,40,136,109,29,38,25,52,23,22,25
00:56,39,123,68,34,23,49,77,57,21,7
01:00,93,381,135,96,121,59,99,190,60,202
01:04,46,162,64,73,45,31,35,34,42,23
01:08,42,144,59,63,24,29,45,46,15,35
01:12,54,143,78,39,16,33,43,24,29,22
01:16,60,155,60,44,34,44,47,67,21,28
01:20,37,142,69,38,25,33,60,8,15,12
01:24,46,119,59,30,25,34,34,59,28,20
01:28,41,210,57,47,44,23,34,72,16,43
01:32,38,202,77,34,44,26,41,60,38,38
01:36,44,137,76,33,39,40,32,79,10,8
01:40,55,141,35,31,22,23,29,80,11,12
01:44,38,123,66,41,32,29,35,94,40,21
01:48,26,119,45,36,32,31,48,30,14,33
01:52,47,99,50,33,19,30,33,74,7,19
01:56,55,83,57,10,30,34,27,32,22,31
02:00,76,230,104,131,165,41,67,317,33,386
02:04,54,172,46,19,31,17,40,39,21,22
02:08,21,135,33,18,18,18,30,38,35,12
02:12,17,127,50,27,30,23,26,137,24,16
02:16,29,123,61,20,12,44,35,51,34,1
02:20,39,118,38,19,21,29,43,37,13,11
02:24,21,89,58,14,29,20,41,4,15,20
02:28,34,148,44,17,96,18,15,99,17,50
02:32,41,136,57,32,80,16,13,127,24,122
02:36,23,106,27,67,154,27,27,64,16,152
02:40,22,110,45,15,23,9,20,41,37,11
02:44,21,98,26,18,38,20,22,103,29,10
02:48,22,115,44,22,35,19,17,63,24,4
02:52,15,102,36,22,30,19,35,20,20,66
02:56,17,109,28,16,26,15,19,29,8,13
03:00,40,163,40,65,115,107,85,204,15,200
03:04,24,82,21,9,15,25,33,67,22,18
03:08,18,107,27,13,19,16,23,82,20,18
03:12,31,96,36,21,31,20,29,57,17,16
03:16,34,89,22,17,16,23,24,45,15,16
03:20,21,105,48,9,24,17,21,47,32,21
03:24,14,75,26,24,29,20,34,67,50,39
03:28,27,111,44,27,31,20,15,20,33,0
03:32,20,104,38,24,52,25,22,60,53,14
03:36,30,78,31,22,50,18,19,61,24,90
03:40,14,81,19,20,22,25,25,36,28,18
03:44,13,83,19,18,28,11,17,66,17,9
03:48,20,77,26,30,32,16,21,69,20,13
03:52,16,66,48,16,20,17,20,52,36,17
03:56,18,75,16,17,29,41,26,26,42,0
04:00,123,138,29,69,146,23,30,271,94,262
04:04,13,70,26,29,21,18,27,23,20,35
04:08,14,92,20,14,11,21,17,73,29,18
04:12,23,74,15,17,18,19,13,30,29,6
04:16,8,145,32,26,32,10,15,55,42,32
04:20,11,91,22,12,32,10,12,53,23,17
04:24,25,65,16,18,26,31,19,28,34,40
04:28,12,65,42,32,35,17,11,42,62,36
04:32,16,73,44,29,40,21,18,114,106,41
04:36,19,79,41,8,22,18,21,60,25,24
04:40,14,69,25,21,18,17,13,57,14,26
04:44,9,48,30,19,17,18,18,70,8,10
04:48,13,56,5,20,20,23,27,39,24,3
04:52,9,57,20,17,18,18,22,96,29,9
04:56,26,54,33,15,24,23,16,79,17,39
05:00,52,115,150,106,459,60,46,2078,107,414
05:04,21,91,33,13,29,23,21,89,21,13
05:08,18,58,28,20,39,28,25,163,17,24
05:12,19,56,15,27,46,11,12,33,38,3
05:16,18,45,25,11,21,19,23,64,20,5
05:20,18,56,19,14,26,12,13,29,25,12
05:24,8,49,26,18,34,18,21,111,10,49
05:28,8,55,24,26,47,73,52,76,23,38
05:32,14,55,27,37,93,59,43,87,45,70
05:36,15,46,23,18,26,23,28,32,19,15
05:40,22,21,21,12,44,18,19,24,12,51
05:44,14,30,13,23,25,24,16,47,13,16
05:48,15,27,10,18,39,25,21,43,20,17
05:52,6,34,32,17,48,22,17,13,31,18
05:56,19,43,25,7,39,34,21,28,13,44
06:00,40,64,60,117,302,287,255,147,59,437
06:04,19,30,27,24,45,36,21,34,26,22
06:08,18,35,29,22,46,37,17,76,30,43
06:12,17,43,29,19,41,23,16,1,37,26
06:16,19,27,19,25,50,29,13,16,23,25
06:20,23,42,8,13,48,24,13,47,15,7
06:24,16,20,28,14,43,26,24,35,27,10
06:28,29,26,70,39,97,50,30,35,28,73
06:32,32,27,24,45,136,56,36,24,43,63
06:36,24,34,14,14,52,24,11,47,30,15
06:40,22,26,23,27,33,30,12,30,8,50
06:44,18,36,24,30,60,16,15,79,34,52
06:48,40,28,22,23,45,16,15,16,29,26
06:52,17,16,21,15,39,16,6,61,31,21
06:56,34,28,26,20,40,23,28,26,30,40
07:00,117,44,112,219,615,129,187,182,136,802
07:04,41,25,27,37,66,25,26,20,48,62
07:08,40,28,22,32,46,21,19,8,21,19
07:12,30,13,10,28,71,18,18,17,30,69
07:16,31,27,44,32,54,22,29,22,37,88
07:20,36,21,23,32,66,22,11,39,45,61
07:24,20,24,42,37,82,23,15,52,36,55
07:28,33,24,41,42,100,38,24,51,46,118
07:32,21,20,50,66,132,52,48,7,113,83
07:36,19,18,29,26,45,23,20,38,40,37
07:40,27,10,34,29,56,31,15,14,44,77
07:44,27,15,31,27,68,32,32,23,62,95
07:48,23,22,32,36,49,37,5,5,37,23
07:52,32,15,38,35,57,31,26,18,45,90
07:56,58,15,37,44,64,26,26,54,45,98
08:00,158,37,307,411,855,216,144,413,179,1735
08:04,28,22,44,42,84,40,27,38,57,152
08:08,35,24,28,43,65,22,19,97,80,58
08:12,39,52,19,33,61,34,11,0,45,74
08:16,59,28,29,37,74,31,34,18,44,51
08:20,34,23,41,34,54,25,26,11,62,60
08:24,24,26,16,24,72,38,24,23,42,83
08:28,38,25,59,45,102,88,43,42,79,73
08:32,20,25,46,59,173,87,60,107,111,135
08:36,32,23,33,40,87,42,24,174,78,74
08:40,27,18,24,40,57,21,18,6,83,76
08:44,28,25,34,72,75,42,12,50,56,85
08:48,25,16,16,41,56,46,26,19,69,64
08:52,50,20,39,44,80,44,33,7,74,83
08:56,23,24,42,49,74,28,30,13,56,121
09:00,79,51,336,429,1001,274,190,703,304,1368
09:04,36,22,148,54,106,41,32,31,90,179
09:08,8,20,82,45,77,42,24,77,102,142
09:12,31,30,102,61,94,51,27,14,58,132
09:16,20,15,80,47,71,51,32,20,80,71
09:20,16,23,34,85,83,52,23,8,40,96
09:24,22,17,50,58,72,56,37,9,66,90
09:28,41,33,57,80,122,110,71,36,79,118
09:32,36,35,75,87,168,115,85,74,92,290
09:36,44,21,45,56,69,147,124,32,60,78
09:40,43,26,74,67,87,35,32,36,34,40
09:44,29,20,36,67,78,47,43,19,64,132
09:48,29,20,43,45,61,67,39,20,57,44
09:52,32,27,38,65,93,37,37,5,85,66
09:56,23,37,45,60,86,53,51,0,94,67
10:00,184,103,334,428,1421,440,358,613,846,1764
10:04,30,34,47,97,162,77,63,26,81,244
10:08,32,30,48,86,148,58,29,47,99,149
