Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,196,141,647,1097,481,127,253,550,115,585
00:20,130,108,323,811,457,132,171,257,113,423
00:40,181,85,273,764,346,86,138,281,150,449
01:00,301,113,512,1176,631,178,192,415,139,511
01:20,200,154,300,816,396,118,141,295,179,445
01:40,224,107,315,812,423,104,99,335,237,353
02:00,217,137,426,1099,560,163,163,525,286,415
02:20,168,118,355,859,395,87,94,285,297,360
02:40,195,122,372,901,375,99,100,381,348,241
03:00,665,231,849,1067,492,125,109,340,375,334
03:20,173,165,366,825,382,120,90,273,452,296
03:40,152,162,363,846,420,127,120,301,515,286
04:00,158,520,410,830,574,254,209,1211,330,754
04:20,95,190,372,622,408,136,106,193,760,195
04:40,133,180,381,567,383,140,91,313,788,232
05:00,168,492,580,678,593,321,299,1786,667,1030
05:20,167,234,459,329,274,141,108,291,645,155
05:40,182,265,415,365,241,149,120,216,836,194
06:00,213,507,699,355,247,242,229,208,600,281
06:20,157,296,389,254,166,160,113,190,772,129
06:40,165,331,429,229,219,180,109,166,866,124
07:00,317,825,973,278,262,368,268,418,748,369
07:20,210,408,575,154,154,228,138,110,646,127
07:40,221,345,521,167,203,288,185,146,779,134
08:00,690,713,1210,160,244,498,390,556,614,448
08:20,254,473,720,98,164,311,254,111,689,113
08:40,353,463,619,148,298,401,359,357,745,306
09:00,1179,838,1707,150,226,721,671,1181,676,361
09:20,380,510,726,100,128,321,314,109,535,124
09:40,378,564,756,106,164,364,421,148,705,131
10:00,1404,787,1290,140,346,918,910,445,565,374
10:20,415,597,809,95,151,436,395,94,718,105
10:40,383,556,742,96,149,426,396,165,775,86
11:00,1114,1257,1127,183,536,1059,841,489,635,489
11:20,368,641,778,112,231,439,441,204,627,109
11:40,295,683,721,128,227,459,443,72,990,203
12:00,702,1061,1073,230,620,1107,640,764,673,810
12:20,335,708,650,127,315,547,380,190,889,278
12:40,294,689,625,165,399,552,400,281,1123,235
13:00,557,1153,846,413,952,1403,770,1145,861,1502
13:20,354,808,500,168,359,685,431,337,766,340
13:40,326,813,554,204,358,539,449,323,963,333
14:00,385,1234,466,591,1189,1670,940,1763,999,1850
14:20,310,802,378,224,413,844,613,259,866,363
14:40,282,866,464,247,461,618,623,334,1022,457
15:00,513,1690,681,682,1567,1859,1693,2044,970,2191
15:20,240,1046,449,355,510,665,627,427,545,576
15:40,326,961,487,375,524,716,799,476,671,683
16:00,260,1492,435,783,2462,1870,3090,2379,695,2597
16:20,238,1009,323,418,764,766,1162,526,828,452
16:40,201,824,299,424,710,874,1247,503,696,673
17:00,253,1404,290,982,1961,2117,3035,2500,722,2340
17:20,140,834,251,586,773,831,1202,540,567,647
17:40,129,702,199,572,576,827,1033,330,359,581
18:00,114,946,152,993,1349,1488,1378,1239,364,1441
18:20,127,769,176,715,559,759,858,489,314,779
18:40,97,722,133,672,536,723,752,585,236,630
19:00,184,719,139,1066,1390,1192,999,903,255,1247
19:20,79,605,127,659,576,699,841,610,176,419
19:40,71,565,145,711,581,591,796,481,137,468
20:00,126,563,264,1123,1382,822,803,803,104,1210
20:20,71,476,109,630,605,545,697,534,99,584
20:40,80,423,94,741,658,596,713,405,137,434
21:00,102,442,173,1175,1080,896,752,653,94,1114
21:20,104,441,154,774,668,936,648,554,112,574
21:40,136,325,107,688,535,539,529,354,95,328
22:00,249,374,208,1188,1243,604,580,831,199,1117
22:20,150,260,160,780,567,330,437,367,182,469
22:40,117,179,176,750,500,274,347,425,162,374
23:00,311,206,454,1192,855,489,451,537,246,795
23:20,194,159,164,762,516,234,289,301,147,408
23:40,132,151,153,869,422,207,240,307,161,379
