Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
10:20,155,281,382,35,71,159,195,22,300,54
10:30,317,330,426,63,102,403,251,71,603,46
10:40,137,258,329,43,63,154,181,121,295,69
10:50,157,294,369,43,72,146,171,41,273,25
11:00,937,894,724,137,457,902,637,421,355,450
11:10,199,396,441,62,116,182,237,78,274,38
11:20,164,289,318,35,86,188,216,116,226,70
11:30,199,344,480,89,190,354,261,125,834,137
11:40,127,345,326,56,74,176,199,9,314,76
11:50,133,327,325,48,92,194,179,13,257,46
12:00,568,712,697,182,505,888,479,680,389,742
12:10,157,340,362,47,109,259,156,88,342,106
12:20,166,367,316,58,143,214,189,57,342,80
12:30,175,366,358,113,317,401,218,171,984,172
12:40,137,341,317,55,135,218,193,219,308,184
12:50,138,333,227,75,133,202,186,84,411,96
13:00,378,804,616,335,838,1207,596,968,459,1371
13:10,195,372,257,89,143,355,185,156,368,133
13:20,191,375,236,75,181,242,193,191,347,169
13:30,183,489,271,120,200,406,287,188,664,248
13:40,151,393,289,86,174,212,191,154,379,131
13:50,131,380,247,90,142,243,215,168,350,92
14:00,242,815,243,501,1003,1353,724,1450,641,1659
14:10,175,386,176,109,214,416,238,305,331,257
14:20,144,368,179,103,169,409,266,134,374,182
14:30,160,495,260,127,336,490,493,140,735,250
14:40,138,422,261,114,202,233,225,227,405,187
14:50,142,469,178,143,199,255,267,110,402,193
15:00,366,1168,503,539,1310,1515,1387,1767,610,1918
15:10,129,541,201,147,260,337,311,332,310,269
15:20,97,517,170,175,214,291,237,111,253,289
15:30,196,518,371,224,357,565,582,270,372,454
15:40,157,461,195,181,235,268,269,298,297,279
15:50,107,460,202,136,187,258,371,133,329,203
16:00,154,1005,230,603,2166,1545,2619,2132,380,2343
16:10,120,523,167,212,372,341,514,319,312,331
16:20,123,518,157,209,348,276,477,268,312,174
16:30,97,446,173,227,554,778,1101,258,707,307
16:40,114,424,139,204,277,286,398,239,246,318
16:50,96,377,132,199,253,307,410,215,197,314
17:00,154,907,173,764,1653,1771,2534,2077,488,1959
17:10,71,522,108,267,365,401,591,483,274,375
17:20,66,387,122,263,323,327,508,250,267,273
17:30,92,440,131,395,490,616,866,234,320,494
17:40,48,335,88,233,216,318,389,93,133,265
17:50,55,322,88,246,292,340,378,281,125,147
18:00,69,580,75,698,1031,1155,966,923,258,1160
18:10,65,381,71,349,289,345,416,325,99,368
18:20,56,346,91,323,268,330,380,160,162,307
18:30,60,472,88,471,357,562,552,539,166,593
18:40,43,347,64,286,212,278,324,141,102,226
18:50,42,270,81,249,222,267,308,169,108,191
19:00,146,413,61,763,1149,860,681,661,170,950
19:10,46,355,57,335,294,361,361,282,80,341
19:20,35,255,51,333,257,329,385,298,82,186
19:30,40,343,102,432,381,406,518,420,103,273
19:40,35,263,70,298,236,240,347,160,64,208
19:50,29,263,45,306,282,280,339,203,51,208
20:00,89,299,205,794,1087,580,459,596,59,962
20:10,42,255,52,331,274,238,336,214,48,239
20:20,41,230,55,277,273,256,380,170,37,259
20:30,30,250,63,424,429,338,383,377,69,380
20:40,44,202,52,357,288,246,323,196,70,189
20:50,23,181,49,344,278,350,335,154,47,156
21:00,72,243,108,799,791,453,405,469,54,901
21:10,46,222,61,383,337,458,356,347,63,356
21:20,48,256,48,331,289,561,357,167,57,207
21:30,69,174,102,429,382,381,271,289,39,227
21:40,58,163,53,327,223,247,257,92,49,193
21:50,65,136,55,359,265,209,270,232,68,152
22:00,176,230,151,858,961,399,308,643,114,950
22:10,93,145,57,349,310,176,239,184,61,260
22:20,67,129,79,350,266,161,221,167,66,202
22:30,63,127,109,469,305,190,200,205,146,262
22:40,66,82,79,346,243,117,166,213,66,152
22:50,75,80,84,348,211,116,177,201,83,144
23:00,220,114,372,859,634,355,273,358,188,614
23:10,107,92,67,333,232,144,173,156,34,215
23:20,91,77,68,385,231,104,142,110,67,183
23:30,68,71,121,443,296,117,120,185,132,238
23:40,74,81,75,450,207,108,127,104,64,167
23:50,84,54,72,364,178,70,109,175,46,181
