Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,120,87,492,716,283,83,165,410,77,339
00:10,55,53,245,416,202,60,79,191,33,249
00:20,49,54,98,350,239,76,106,134,59,213
00:30,86,59,172,478,226,41,63,116,80,247
00:40,104,31,142,342,151,44,58,85,90,227
00:50,77,48,99,386,168,63,79,160,48,147
01:00,223,63,402,760,449,100,113,276,85,373
01:10,77,89,123,393,183,59,68,154,56,152
01:20,82,66,167,416,198,64,87,84,79,198
01:30,176,62,152,433,231,47,42,172,198,272
01:40,96,55,172,399,191,62,63,234,79,143
01:50,72,46,129,373,190,51,62,148,91,153
02:00,130,90,298,714,392,109,90,379,183,321
02:10,87,53,140,424,195,49,71,192,107,173
02:20,75,47,154,401,179,39,37,87,115,158
02:30,104,75,223,515,227,50,44,253,256,176
02:40,106,62,180,459,190,39,40,102,153,63
02:50,117,64,156,373,122,53,60,138,122,114
03:00,528,153,669,661,302,80,58,224,226,205
03:10,108,80,219,455,236,51,44,165,172,171
03:20,91,71,159,387,190,55,40,143,175,137
03:30,87,97,217,417,243,89,75,175,411,203
03:40,71,74,158,439,169,57,49,114,206,109
03:50,49,87,191,339,173,45,49,122,147,95
04:00,123,433,243,524,389,197,162,1001,197,619
04:10,41,76,129,301,181,47,38,165,144,144
04:20,39,86,208,268,116,47,46,88,164,52
04:30,71,132,189,385,400,140,85,191,980,143
04:40,54,86,194,245,134,43,27,107,238,105
04:50,61,82,191,269,141,52,40,187,210,131
05:00,96,376,402,413,456,252,259,1567,427,884
05:10,96,122,191,207,126,74,53,161,235,126
05:20,72,107,218,172,131,72,43,187,258,64
05:30,92,159,271,209,159,94,97,143,668,109
05:40,95,115,175,169,130,66,48,139,295,103
05:50,62,131,194,131,75,57,35,22,271,62
06:00,156,369,494,194,180,203,185,115,340,218
06:10,76,147,198,173,53,48,38,94,287,67
06:20,67,135,188,99,94,51,60,146,314,50
06:30,92,188,242,148,117,144,93,57,733,77
06:40,80,144,204,117,105,69,42,118,288,55
06:50,82,167,197,81,77,83,47,86,327,58
07:00,242,583,771,195,196,287,204,333,392,313
07:10,80,232,257,84,57,80,50,21,335,48
07:20,97,205,247,81,65,105,62,38,257,54
07:30,139,244,315,80,133,212,134,137,492,135
07:40,103,158,248,81,91,104,66,56,379,44
07:50,90,152,271,74,83,110,88,45,259,108
08:00,594,509,932,112,169,375,304,399,351,318
08:10,98,240,306,51,68,132,84,146,321,50
08:20,137,224,344,42,43,123,109,51,272,45
08:30,203,258,417,80,253,288,251,248,535,284
08:40,155,219,281,62,100,145,139,136,310,61
08:50,129,225,274,54,59,150,130,19,274,13
09:00,1047,611,1383,103,189,600,550,1139,408,331
09:10,158,242,368,45,50,133,124,58,279,54
09:20,148,221,344,46,58,128,139,45,246,89
09:30,314,333,464,64,94,276,248,135,363,85
09:40,161,277,339,43,64,132,182,20,340,34
09:50,109,224,303,50,64,153,190,46,271,74
10:00,1216,543,923,98,293,770,710,352,323,317
10:10,230,281,442,46,53,144,186,108,255,12
