Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,64,29,285,391,125,32,75,264,40,201
00:02,17,13,87,90,61,23,27,105,8,45
00:04,15,16,69,71,36,7,15,32,11,38
00:06,17,13,44,70,40,3,17,62,9,48
00:08,3,12,46,89,46,10,14,24,8,87
00:10,8,12,32,83,45,16,16,72,6,44
00:12,19,6,66,87,40,13,16,18,6,13
00:14,8,10,57,87,31,18,16,15,4,57
00:16,10,15,28,78,58,26,23,20,18,56
00:18,13,12,20,65,35,14,24,11,5,62
00:20,10,9,23,83,51,20,28,55,5,30
00:22,7,10,11,54,56,11,19,28,24,44
00:24,9,8,16,70,39,5,12,20,7,21
00:26,11,17,37,76,43,9,10,0,10,18
00:28,26,9,13,62,40,5,10,23,3,56
00:30,23,17,71,192,59,5,15,23,50,75
00:32,13,7,11,88,48,11,15,61,11,52
00:34,13,9,40,60,36,11,13,9,6,46
00:36,26,4,21,60,44,15,12,0,26,59
00:38,25,11,34,75,23,6,14,17,14,28
00:40,27,7,35,85,26,9,11,6,14,30
00:42,10,3,37,58,33,8,12,30,23,24
00:44,16,6,15,64,25,6,9,32,13,86
00:46,16,13,23,65,29,6,17,32,9,59
00:48,14,11,11,81,34,10,23,14,8,8
00:50,18,7,20,77,36,7,8,80,10,33
00:52,9,10,23,81,28,22,14,0,9,9
00:54,20,7,22,82,41,18,17,34,12,38
00:56,7,5,23,82,32,15,14,32,10,42
00:58,18,9,15,77,32,15,15,38,19,40
01:00,169,28,312,429,304,51,52,163,35,208
01:02,13,11,15,93,52,11,21,26,12,51
01:04,16,10,37,79,29,8,11,17,9,32
01:06,16,15,14,102,40,16,15,62,14,45
01:08,21,7,27,77,35,9,19,20,13,8
01:10,6,16,19,58,32,12,9,0,3,41
01:12,17,32,37,86,48,10,10,35,10,33
01:14,17,19,26,70,28,12,15,37,16,25
01:16,15,19,24,92,52,21,24,55,16,56
01:18,12,11,27,84,24,9,15,1,11,28
01:20,13,9,36,71,39,3,9,6,16,30
01:22,18,9,48,82,40,20,18,22,17,66
01:24,24,18,32,87,43,11,21,0,19,18
01:26,27,9,15,77,37,9,16,48,18,42
01:28,34,16,26,58,24,9,6,32,16,66
01:30,40,15,71,158,95,14,8,61,117,109
01:32,46,10,14,61,29,8,8,19,19,19
01:34,29,12,26,79,46,7,4,12,28,36
01:36,25,11,21,108,47,16,16,29,12,23
01:38,12,7,38,63,38,12,14,50,12,31
01:40,14,12,36,76,32,12,9,40,12,39
01:42,25,10,37,74,27,12,8,25,16,6
01:44,20,15,40,78,47,10,16,90,27,44
01:46,15,8,23,73,51,9,10,44,7,51
01:48,6,7,22,80,45,5,9,7,20,34
01:50,19,10,22,74,22,9,14,23,17,18
01:52,13,11,31,86,37,15,17,38,28,26
01:54,19,10,31,60,35,13,12,36,19,24
01:56,15,11,38,87,33,21,10,21,17,22
01:58,11,7,17,64,23,4,10,1,12,54
02:00,73,42,189,377,216,61,36,312,101,164
02:02,16,19,31,94,67,20,15,31,26,48
02:04,15,11,23,92,53,3,19,14,27,33
02:06,19,10,12,92,29,8,19,36,13,8
02:08,14,7,24,76,32,8,6,30,17,28
02:10,23,11,44,79,41,13,10,29,23,38
02:12,18,19,29,80,31,13,17,59,31,50
02:14,13,6,31,97,62,7,19,38,23,49
02:16,20,6,43,82,41,5,3,13,37,53
02:18,14,14,34,87,42,14,4,25,13,23
02:20,6,15,37,71,17,6,10,30,13,30
02:22,18,4,17,78,37,8,13,7,37,33
02:24,17,8,23,83,42,6,7,12,15,19
02:26,23,13,32,79,39,12,11,4,16,7
02:28,11,11,38,78,35,11,5,26,27,45
02:30,37,33,82,183,79,10,8,111,160,45
02:32,13,15,42,75,40,7,8,40,19,49
02:34,20,3,29,100,34,10,12,72,34,30
02:36,18,14,32,76,35,10,11,16,31,14
02:38,22,11,41,99,36,4,8,10,31,7
02:40,17,13,26,122,48,14,11,14,42,15
02:42,21,13,36,75,39,6,5,32,29,12
02:44,28,11,45,87,32,5,5,30,20,15
02:46,15,10,24,73,26,15,16,53,26,39
02:48,15,7,45,72,22,7,7,43,18,22
02:50,29,13,29,64,27,14,16,20,31,7
02:52,22,16,28,89,35,13,11,6,33,20
02:54,36,18,30,75,12,4,10,16,14,26
02:56,22,14,37,78,39,19,7,0,24,9
02:58,30,15,29,95,28,9,7,26,24,22
03:00,412,91,479,259,146,28,18,158,108,109
03:02,39,14,72,121,47,17,16,22,26,38
03:04,25,19,52,108,42,7,10,18,44,27
03:06,25,13,50,82,59,8,6,1,44,12
03:08,29,18,46,88,54,15,17,58,25,61
03:10,10,19,23,105,42,4,4,41,47,18
03:12,26,18,56,96,38,15,9,40,30,30
03:14,18,12,44,84,43,9,8,25,26,50
03:16,23,21,37,65,43,11,12,28,40,40
03:18,14,14,29,80,44,10,10,23,30,33
03:20,8,10,36,91,21,6,4,13,42,8
03:22,19,12,36,78,29,11,10,22,41,18
03:24,27,14,21,73,53,17,4,57,22,38
03:26,6,13,38,64,20,5,11,11,36,18
03:28,17,14,37,61,24,7,5,11,25,26
03:30,24,44,67,135,131,53,30,63,263,82
03:32,12,17,41,80,33,11,12,53,42,46
03:34,28,9,34,77,35,13,17,37,45,31
03:36,10,13,44,82,31,11,10,22,59,17
03:38,12,13,31,84,42,13,13,23,38,9
03:40,21,18,33,93,38,10,14,27,54,0
03:42,10,15,20,96,18,6,5,13,26,41
03:44,18,15,30,84,40,17,7,29,29,42
03:46,7,21,40,68,51,14,14,35,53,19
03:48,15,15,35,76,30,5,10,18,25,24
03:50,11,17,23,79,32,10,9,20,19,2
03:52,6,20,50,62,29,5,4,13,24,26
03:54,10,14,43,54,31,11,12,36,26,24
03:56,9,11,27,56,40,20,11,43,35,44
03:58,12,21,29,56,24,5,5,18,23,24
04:00,73,361,126,262,252,144,125,894,103,479
04:02,17,17,37,68,36,12,14,23,19,32
04:04,12,23,24,82,37,16,7,23,17,40
04:06,8,15,14,54,36,7,12,57,23,3
04:08,3,21,36,63,58,20,10,17,44,44
04:10,4,12,26,65,35,13,6,67,17,47
04:12,10,18,23,60,24,5,6,16,16,23
04:14,16,10,30,59,28,2,4,8,44,27
04:16,7,21,45,63,29,14,11,24,20,12
04:18,8,13,35,53,11,6,5,16,31,5
04:20,5,25,32,47,27,4,4,43,37,24
04:22,8,20,45,50,28,17,17,5,40,11
04:24,11,7,51,55,21,6,9,0,36,0
04:26,8,14,46,63,23,11,9,15,43,20
04:28,14,24,25,49,52,9,5,35,67,12
04:30,18,62,56,156,261,95,56,82,775,85
04:32,13,13,31,47,45,14,7,29,58,19
04:34,18,19,31,70,19,11,8,30,37,7
04:36,11,13,38,47,34,10,6,28,50,0
04:38,12,14,17,63,17,3,6,24,50,21
04:40,14,12,48,37,34,12,6,24,51,32
04:42,8,27,47,56,21,9,4,31,43,44
04:44,9,20,44,42,28,9,5,0,44,8
04:46,8,16,34,56,22,9,7,56,36,40
04:48,18,9,38,53,31,12,10,25,34,19
04:50,12,13,68,51,35,16,11,54,48,10
04:52,12,22,31,56,27,8,9,30,39,34
04:54,11,22,20,53,26,7,3,22,53,28
04:56,8,14,34,37,24,9,11,10,32,23
04:58,11,26,24,37,26,10,11,61,51,86
05:00,56,298,238,221,307,190,211,1290,256,646
05:02,9,20,57,48,60,26,15,152,47,98
05:04,12,18,49,70,39,17,11,54,41,31
05:06,21,35,33,54,40,33,20,70,69,65
05:08,16,20,37,57,24,13,4,47,36,17
05:10,20,27,39,38,25,16,8,16,61,12
05:12,20,21,40,26,22,8,14,28,30,24
05:14,19,19,42,32,15,4,7,0,39,8
05:16,18,13,41,35,25,22,8,14,40,19
05:18,10,19,38,30,30,12,9,60,46,11
05:20,6,21,54,39,21,13,9,28,62,22
05:22,18,22,40,33,27,11,8,31,54,6
05:24,20,32,45,35,28,14,9,54,56,6
05:26,16,22,46,40,35,17,9,26,67,39
05:28,15,22,47,23,25,14,4,9,38,4
05:30,29,62,66,53,65,38,61,89,385,16
05:32,23,32,62,52,16,15,13,11,85,11
05:34,9,21,50,41,18,10,10,8,93,39
05:36,28,22,38,27,21,11,7,7,52,6
05:38,17,14,27,38,31,14,7,19,62,25
05:40,9,17,26,32,27,16,8,17,55,23
05:42,31,30,36,38,27,16,5,7,55,6
05:44,10,32,48,34,24,9,21,89,71,43
05:46,16,18,39,24,17,12,6,0,64,4
05:48,14,30,42,30,9,11,6,1,64,19
05:50,15,26,28,24,17,14,5,4,42,6
05:52,8,31,51,31,10,7,5,17,21,23
05:54,9,26,34,22,22,13,13,0,80,10
05:56,11,37,47,14,13,15,5,0,48,11
05:58,14,28,45,30,17,12,10,28,53,13
06:00,99,225,328,91,107,136,141,73,105,145
06:02,11,47,37,32,17,19,13,5,94,33
06:04,21,32,37,27,26,21,16,9,40,16
06:06,14,23,53,41,13,5,8,23,62,7
06:08,16,33,36,42,13,5,10,39,62,15
06:10,14,32,48,35,6,13,8,14,46,18
06:12,14,25,33,33,9,17,3,17,65,16
06:14,18,34,28,22,12,8,9,1,52,11
06:16,9,27,27,18,8,5,16,21,39,2
06:18,10,22,56,20,30,8,11,27,50,19
06:20,18,29,46,20,25,17,13,46,66,6
06:22,15,29,32,18,14,16,10,13,57,9
06:24,15,28,27,23,17,5,10,39,102,14
06:26,15,19,35,30,15,13,10,10,57,18
06:28,16,26,37,27,20,14,3,14,92,16
06:30,32,79,73,44,42,78,46,9,392,14
