Label,Number Of Video JPN,Number Of Video RUS,Number Of Video KOR,Number Of Video MEX,Number Of Video CAN,Number Of Video DEU,Number Of Video FRA,Number Of Video GBR,Number Of Video IND,Number Of Video USA
00:00,79,44,336,482,169,43,94,349,46,244
00:04,36,25,148,149,97,21,40,56,19,80
00:08,8,28,82,159,70,20,28,87,16,98
00:12,31,13,102,183,99,26,34,89,11,77
00:16,20,27,80,147,88,48,37,31,22,109
00:20,16,21,34,152,85,29,56,70,8,106
00:24,22,24,50,133,99,21,27,44,31,52
00:28,41,23,57,196,86,8,17,23,41,79
00:32,36,20,75,208,94,22,32,91,36,133
00:36,44,18,45,126,81,21,24,2,28,84
00:40,43,10,74,153,46,14,24,48,38,61
00:44,29,15,36,128,62,14,19,68,30,139
00:48,29,22,43,149,63,15,39,72,18,32
00:52,32,15,38,157,61,34,31,23,20,66
00:56,23,15,45,173,73,35,28,87,26,86
01:00,184,37,334,514,347,68,68,206,51,247
01:04,30,22,47,176,85,21,35,61,19,77
01:08,32,24,48,156,65,20,30,38,23,35
01:12,30,52,48,143,72,19,20,40,13,84
01:16,30,28,52,169,79,33,36,87,38,81
01:20,25,23,63,155,71,19,28,7,27,52
01:24,47,26,77,165,83,24,40,57,36,95
01:28,68,25,60,184,91,23,17,104,65,133
01:32,80,25,68,165,102,17,13,33,111,110
01:36,51,23,59,190,86,28,25,79,35,49
01:40,30,18,70,149,65,20,20,54,22,55
01:44,33,25,73,149,83,20,25,145,40,73
01:48,30,16,45,159,87,19,16,24,29,66
01:52,32,20,58,143,62,23,34,80,47,58
01:56,22,24,59,142,60,30,24,21,32,58
02:00,91,51,214,460,267,73,53,344,124,210
02:04,34,22,41,192,101,19,29,50,40,60
02:08,38,20,54,162,70,18,23,30,43,29
02:12,27,30,78,158,83,21,28,117,50,110
02:16,35,15,61,186,83,16,15,31,57,81
02:20,22,23,67,147,54,14,16,53,35,66
02:24,42,17,42,162,95,21,25,16,41,38
02:28,42,33,107,206,80,15,10,68,114,65
02:32,40,35,95,217,104,23,19,125,120,97
02:36,37,21,56,172,73,14,22,73,65,30
02:40,42,26,71,214,82,19,18,51,70,20
02:44,42,20,77,157,53,12,14,34,45,30
02:48,34,20,73,141,63,31,27,98,48,64
02:52,61,27,57,160,47,15,20,24,54,36
02:56,53,37,67,170,62,32,16,16,42,33
03:00,447,103,523,361,186,37,32,200,140,135
03:04,60,34,115,204,88,21,21,25,82,51
03:08,44,30,87,172,109,20,20,75,57,79
03:12,38,37,86,204,84,21,12,69,71,69
03:16,43,32,65,152,76,19,23,65,64,87
03:20,19,26,79,162,55,13,10,31,80,14
03:24,41,25,45,153,86,30,18,78,77,74
03:28,32,45,91,154,81,37,27,30,160,52
03:32,39,42,92,182,133,41,32,97,201,114
03:36,35,26,86,165,71,28,30,59,95,41
03:40,31,24,52,184,70,19,19,50,86,40
03:44,22,39,62,168,73,29,22,63,81,66
03:48,25,31,71,147,73,10,17,32,52,25
03:52,16,36,80,135,58,18,15,67,47,40
03:56,23,29,59,109,69,31,22,63,59,67
04:00,89,383,165,327,278,151,135,916,123,523
04:04,23,36,47,141,74,21,17,33,37,43
04:08,7,36,59,118,95,33,20,132,64,81
04:12,16,26,56,122,50,14,13,16,49,55
04:16,21,37,75,116,52,16,14,37,55,22
04:20,15,43,61,101,43,15,14,54,83,33
04:24,23,18,103,114,48,19,24,5,68,8
04:28,20,66,77,169,215,72,41,81,505,77
04:32,35,54,77,150,168,58,34,100,439,57
04:36,24,27,68,118,53,18,12,53,102,9
04:40,23,35,60,88,50,22,14,33,71,67
04:44,20,36,96,103,49,14,8,53,100,50
04:48,31,28,80,108,63,28,23,74,76,49
04:52,20,34,83,98,59,15,11,71,85,51
04:56,21,44,55,86,48,20,18,34,89,72
05:00,60,322,268,278,358,208,227,1485,292,776
05:04,32,43,108,104,84,42,29,100,110,67
05:08,35,49,66,112,44,36,14,96,91,64
05:12,41,49,92,58,50,22,21,33,87,43
05:16,33,31,73,71,53,36,21,74,86,27
05:20,11,35,103,69,47,20,14,28,121,27
05:24,41,62,82,71,58,27,18,111,106,34
05:28,41,57,109,60,66,36,34,45,245,24
05:32,39,79,122,99,65,47,53,64,338,41
05:36,45,36,61,78,50,25,16,34,136,51
05:40,32,42,66,69,53,30,14,24,115,24
05:44,31,52,83,62,44,20,26,89,127,49
05:48,35,56,83,57,29,27,11,5,120,29
05:52,18,53,70,53,29,18,12,17,85,33
05:56,18,68,83,37,37,29,24,28,103,17
06:00,114,256,383,119,113,149,148,74,178,171
06:04,30,71,75,61,45,34,28,13,134,30
06:08,33,59,88,85,23,12,17,76,100,30
06:12,27,57,69,60,20,27,9,18,119,31
06:16,27,57,68,39,29,13,32,21,84,9
06:20,28,52,93,43,42,31,19,76,119,24
06:24,38,57,64,46,36,17,20,59,168,36
06:28,37,73,95,66,39,72,33,16,282,29
06:32,38,89,103,57,60,61,47,25,379,30
06:36,17,57,82,51,47,28,21,59,107,26
06:40,33,60,68,46,38,25,13,30,139,9
06:44,51,63,95,37,40,30,20,37,122,25
06:48,26,62,81,38,34,36,8,15,119,34
06:52,32,70,82,32,32,36,27,69,134,24
06:56,19,71,66,28,22,20,31,47,124,20
07:00,205,377,656,127,149,252,167,264,205,293
07:04,29,192,90,55,37,33,22,30,116,10
07:08,32,115,79,36,22,27,21,8,169,22
07:12,36,57,102,28,21,31,16,0,123,15
07:16,29,81,116,40,25,48,28,5,87,27
07:20,52,75,91,30,26,22,22,10,94,12
07:24,33,84,119,24,29,53,24,28,150,21
07:28,60,111,147,32,53,74,48,67,192,52
07:32,49,108,117,32,41,104,58,13,218,50
